min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,classe
-15712.0,-22176.0,-7292.0,-864.0,-9909.0,-27230.0,3216.0,-3928.0,8688.0,-784.0,20576.0,16416.0,-5969.12,-14840.88,-474.0,-828.8,-2940.02,-788.44,3729.047753193836,3326.967848597278,3598.023123883447,20.48999755978512,5449.425274246817,8103.192553950573,16838.757433691393,8431.79002304947,0
-13188.0,-24824.0,-17144.0,-1136.0,-8386.0,-25699.0,16080.0,-6516.0,7220.0,-1024.0,9106.0,18752.0,5125.344632768361,-13601.22033898305,-1656.6553672316384,-1071.3672316384182,-102.35875706214688,1391.1129943502824,7376.87014916302,3484.223160267835,4779.168546920303,19.30679016754112,3141.417129311693,6838.727051710519,17204.82030207548,6513.99144958509,1
-7044.0,-32768.0,-14052.0,-864.0,-14174.0,-18099.0,26108.0,6716.0,19292.0,-784.0,11024.0,32767.0,3798.64,-14839.76,44.4,-819.84,-1293.94,8547.46,6775.163849708729,8249.069122173725,5965.978759600138,19.87094361121283,6026.465104553415,13072.305085500417,17873.255821789404,14799.86702110523,0
-1756.0,-26520.0,-5008.0,-1088.0,-12931.0,-4095.0,9828.0,-10752.0,5696.0,-1008.0,4667.0,28169.0,2826.64,-16248.96,944.64,-1045.44,-973.06,7633.52,2743.2449818417604,2763.3012789777376,2726.840616977824,15.215991587799987,3160.202502435564,7679.976180275561,16977.579278613808,9263.895596718465,0
-6376.0,-22524.0,-6156.0,-1024.0,-5378.0,-18423.0,7528.0,-14144.0,3636.0,-944.0,5337.0,7831.0,-1009.84,-16319.68,-2657.44,-990.08,-873.18,-2798.82,2831.470482699758,1427.5718887677776,2058.235323377772,17.7130912039655,2483.3678236620526,5037.643713840827,16942.68273458702,5594.106552559608,0
-16832.0,-27024.0,-21132.0,-1440.0,-12603.0,-20987.0,10596.0,9712.0,6336.0,-1328.0,16837.0,21011.0,-7410.598187311179,-3182.9728096676736,-6766.513595166163,-1391.95166163142,1501.1027190332327,425.9486404833837,6325.220045265137,10617.458818692554,5696.793179833992,19.44728924998329,6152.622924696193,6236.459633615265,16909.924391639393,7109.047968909476,1
-18480.0,-28096.0,-23228.0,-1456.0,-12575.0,-17915.0,10324.0,6824.0,3688.0,-1344.0,12506.0,20958.0,-3275.068825910931,-9714.356275303644,-10058.12955465587,-1397.8623481781376,297.66396761133603,-598.3582995951417,4551.531885127893,7026.51796000684,5730.8311625082015,19.749782947411475,3674.316341217961,5892.528703830602,17281.107319305724,5282.172437523344,1
-6864.0,-21668.0,-7524.0,-832.0,-8585.0,-29881.0,11184.0,-12472.0,4252.0,-768.0,4534.0,13283.0,-205.92,-16322.32,-302.72,-808.64,-542.04,-4664.0,3764.179314751092,1536.4582837161574,2223.589234008836,16.99618780785856,2624.3592205336527,10310.37694364275,16900.815868269157,8870.512036190836,0
-23500.0,-24048.0,-15072.0,-1376.0,-11209.0,-32174.0,23640.0,9732.0,13132.0,-1248.0,25639.0,26452.0,250.5304347826087,-10531.730434782608,-2416.942028985507,-1313.5768115942028,506.50217391304346,-244.0195652173913,8979.466680998414,8382.704451520254,5283.772732564582,17.635784971846274,3631.629798117504,6862.367965334283,17029.83862495381,6103.566332906604,1
-10392.0,-32768.0,-25796.0,-1216.0,-19424.0,-32768.0,32767.0,14016.0,32767.0,-1104.0,27194.0,31092.0,2864.020905923345,-15292.432055749128,191.65853658536585,-1150.7177700348432,183.1114982578397,-409.5261324041812,5736.659699535414,5399.420537507146,5750.453073662308,21.436246890291716,6337.113952101819,8146.11020694371,17374.480538327418,8051.809929398484,1
-20916.0,-32768.0,-18120.0,-992.0,-7357.0,-25893.0,32767.0,6028.0,15912.0,-880.0,11109.0,32767.0,281.6638795986622,-12118.923076923076,-3641.759197324415,-938.4347826086956,436.37290969899664,-1004.2591973244148,9285.424727152318,6402.746471008301,4122.393808364849,18.68623858828093,3095.6430731794067,8770.88396341591,17173.121865014706,7782.589300511197,1
-15656.0,-10900.0,2864.0,-768.0,-3496.0,-3862.0,-10336.0,-7556.0,6504.0,-688.0,761.0,7394.0,-12383.68,-9255.04,4314.08,-726.72,-479.3,202.88,775.9632321186359,518.5120619619181,595.160880434862,20.00703876139595,735.0861242058647,2003.372762518249,16068.477508208807,1637.7752916679342,0
